Dam: Ngotwane Dam , FSC: 19.033000000000001 , Dam level: 0.867
Dam: Hartbeespoort Dam , FSC: 186.44 , Dam level: 179.91
Dam: Bon Accord Dam, FSC: 4.381 , Dam level: 4.511
Dam: Olifantsnek Dam , FSC: 13.677 , Dam level: 4.501
Dam: Rietvlei Dam , FSC: 12.25 , Dam level: 
Dam: Buffelspoort Dam , FSC: 10.183 , Dam level: 7.274
Dam: Bospoort Dam , FSC: 15.798999999999999 , Dam level: 15.497
Dam: Lindleyspoort Dam , FSC: 14.208 , Dam level: 0.378
Dam: Warmbad Dam , FSC: 0.549 , Dam level:  -
Dam: Roodeplaat Dam , FSC: 41.158000000000001 , Dam level: 40.453000000000003
Dam: Kosterrivier Dam , FSC: 12.417 , Dam level: 4.245
Dam: Klipvoor Dam , FSC: 40.734999999999999 , Dam level: 21.33
Dam: Swartruggens Dam , FSC: 0.475 , Dam level: 0.003
Dam: Vaalkop Dam , FSC: 51.314999999999998 , Dam level: 
Dam: Roodekopjes Dam , FSC: 102.33 , Dam level: 35.338000000000001
Dam: Marico-Bosveld Dam , FSC: 26.963000000000001 , Dam level: 3.86
Dam: Klein Maricopoort Da , FSC: 7.073 , Dam level: 1.374
Dam: Kromellenboog Dam , FSC: 8.956 , Dam level: 1.231
Dam: Molatedi Dam , FSC: 200.79 , Dam level: 13.608000000000001
Dam: Sehujwane Dam , FSC: 3.614 , Dam level: 2.705
Dam: Madikwe Dam, FSC: 15.938000000000001 , Dam level: 3.948
Dam: Pella Dam, FSC: 2.111 , Dam level: 0.803
Dam: Mokolo Dam , FSC: 145.37 , Dam level: 112.02
Dam: Doorndraai Dam , FSC: 43.764000000000003 , Dam level: 31.545000000000002
Dam: Glen Alpine Dam , FSC: 18.888999999999999 , Dam level: 1.99
Dam: Nzhelele Dam , FSC: 51.234000000000002 , Dam level: 16.879000000000001
Dam: Luphephe Dam , FSC: 13.984 , Dam level: 1.718
Dam: Nwanedzi Dam , FSC: 5.144 , Dam level: 1.967
Dam: Mutshedzi Dam , FSC: 2.336 , Dam level: 0.704
Dam: Albasini Dam , FSC: 28.199000000000002 , Dam level: 19.521999999999998
Dam: Vondo Dam , FSC: 30.446999999999999 , Dam level: 19.187000000000001
Dam: Nandoni Dam , FSC: 166.11 , Dam level: 109.88
Dam: Witbank Dam , FSC: 104.02 , Dam level: 54.295999999999999
Dam: Middelburg Dam , FSC: 48.055999999999997 , Dam level: 27.399000000000001
Dam: Bronkhorstspruit Dam , FSC: 56.994 , Dam level: 36.826000000000001
Dam: Rust Der Winter Dam , FSC: 28.186 , Dam level: 16.135000000000002
Dam: Loskop Dam , FSC: 361.51 , Dam level: 199.27
Dam: Rhenosterkop Dam , FSC: 204.58 , Dam level: 52.369
Dam: Tonteldoos Dam , FSC: 0.189 , Dam level: 0.19
Dam: Vlugkraal Dam , FSC: 0.443 , Dam level: 0.293
Dam: Buffelskloof Dam , FSC: 5.244 , Dam level: 1.555
Dam: De Hoop Dam, FSC: 348.7 , Dam level: 321.74
Dam: Flag Boshielo Dam , FSC: 185.13 , Dam level: 74.352999999999994
Dam: Ohrigstad Dam , FSC: 13.448 , Dam level: 1.012
Dam: Blyderivierpoort Dam , FSC: 54.369 , Dam level: 27.195
Dam: Klaserie Dam , FSC: 5.604 , Dam level: 2.748
Dam: Tours Dam , FSC: 6.084 , Dam level: 1.95
Dam: Ebenezer Dam , FSC: 69.138999999999996 , Dam level: 48.652999999999999
Dam: Hans Merensky Dam , FSC: 1.225 , Dam level: 1.102
Dam: Magoebaskloof Dam , FSC: 4.84 , Dam level: 4.84
Dam: Vergelegen Dam , FSC: 0.254 , Dam level: 0.249
Dam: Tzaneen Dam , FSC: 156.53 , Dam level: 46.822000000000003
Dam: Dap Naude Dam , FSC: 1.936 , Dam level: 1.602
Dam: Middel-Letaba Dam , FSC: 171.93 , Dam level: 43.645000000000003
Dam: Nsami Dam , FSC: 21.873999999999999 , Dam level: 3.152
Dam: Vaal Dam , FSC: 2603.4499999999998 , Dam level: 1265.27
Dam: Grootdraai Dam , FSC: 349.53 , Dam level: 224.02
Dam: Boskop Dam , FSC: 21.026 , Dam level: 14.733000000000001
Dam: Johan Neser Dam , FSC: 5.672 , Dam level: 0
Dam: Klerkskraal Dam , FSC: 7.922 , Dam level: 3.341
Dam: Potchefstroom Dam , FSC: 2.027 , Dam level: 
Dam: Klipdrift Dam , FSC: 13.301 , Dam level: 8.836
Dam: Elandskuil Dam , FSC: 1.181 , Dam level: 0.087
Dam: Rietspruit Dam , FSC: 7.275 , Dam level: 0
Dam: Spitskop Dam , FSC: 57.831000000000003 , Dam level: 16.036999999999999
Dam: Taung Dam, FSC: 61.366 , Dam level: 50.508000000000003
Dam: Allemanskraal Dam , FSC: 174.52 , Dam level: 23.504000000000001
Dam: Erfenis Dam , FSC: 206.06 , Dam level: 
Dam: Tierpoort Dam , FSC: 33.994999999999997 , Dam level: 0
Dam: Kalkfontein Dam , FSC: 325.13 , Dam level: 19.309999999999999
Dam: Rustfontein Dam , FSC: 71.207999999999998 , Dam level: 15.057
Dam: Krugersdrift Dam , FSC: 71.478999999999999 , Dam level: 4.853
Dam: Groothoek Dam , FSC: 11.904999999999999 , Dam level: 0
Dam: Koppies Dam , FSC: 42.311 , Dam level: 16.488
Dam: Sterkfontein Dam , FSC: 2616.9 , Dam level: 2306.33
Dam: Saulspoort Dam , FSC: 15.675000000000001 , Dam level: 15.428000000000001
